epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5794445276260376,2.904787063598633,0.001,0.9121800661087036,0.7244994044303894
1,0.9714921116828918,0.195807546377182,0.001,0.9678266048431396,0.2313462346792221
2,0.9747403264045715,0.16057780385017395,0.001,0.9698010087013245,0.21251696348190308
3,0.9749366641044617,0.15371444821357727,0.001,0.970240592956543,0.20775841176509857
4,0.9751899838447571,0.1472644805908203,0.001,0.9684290885925293,0.21297331154346466
5,0.9754785895347595,0.1406887173652649,0.001,0.9673555493354797,0.22172467410564423
6,0.9758890271186829,0.13417083024978638,0.001,0.9674301147460938,0.22456257045269012
7,0.9777038097381592,0.11627073585987091,0.0005,0.9713279008865356,0.21151626110076904
8,0.9794290661811829,0.1032302975654602,0.0005,0.9702622294425964,0.22685188055038452
